screen_name,created_at,location,source,hashtags,text
will_patch,2020-04-21 16:14:36,"Fort Wayne,  IN",TweetDeck,"EMChat, education",Thanks for the share @SalesforceOrg! Updated yesterday with over 65k responses and updated geographic map and charting results over time: https://t.co/YnqSLPj9js #EMChat #education https://t.co/dzEyHEOaTM
brianmhanlon,2020-04-21 16:14:36,"Red Bank, NJ",Twitter for iPhone,,WVU Medicine receives FDA Investigational Drug Approval for COVID-19 immunotherapy https://t.co/bfs4MVe8G9
ciswmg,2020-04-21 16:14:36,"New Braunfels, TX",Twitter Web App,COVID19,"Bob interviews Dr. Andy Ward who breaks down fear, what causes it, &amp; the brain’s reactions to feeling fear. In the midst of #COVID19, almost all of us are facing emotions like fear &amp; uncertainty. https://t.co/2uNpq3p8T8 https://t.co/JSTXaOLF1i"
DoraCarrillo17,2020-04-21 16:14:35,"California, USA",Twitter Web App,,@nowthisnews These people can never call themselves pro-life after going out in public and spreading the COVID plague they never get to call themselves that again. They're are choosing to spend their time being alive and protesting while risking the lives of others.
mpirnat,2020-04-21 16:14:35,Upstate Ohio,Tweetbot for Mac,,Voting by mail bad for Trump? Ruin the postal service. Covid numbers bad for Trump? Sabotage testing. This is how to think like an autocrat: the path to self-interest that is too immoral for others to even imagine. https://t.co/KyfYmSDpnb
cuevas_e36,2020-04-21 16:14:35,"Rialto, CA",Twitter for iPhone,,"One day he is showing full support for protesters to open the economy back up then the next he does this.

Do you want to get covid under control, yes or no? https://t.co/hjkyiXwB0V"
moissuperman,2020-04-21 16:14:35,"Modesto, CA",Twitter for Android,Covid,With the #Covid questions surrounding college football.  I expect this year to be the largest group of players ever to apply for the NFL supplemental draft.  #NFLDraft
TheBobbyClub,2020-04-21 16:14:35,"Los Angeles, CA",Twitter for iPhone,,There are a lot of small businesses that have felt the squeeze of covid-19 but not too many business have the model of my home state shop @704Shop. They have consistently keep their customers updated about shipments better than most. Salute.
MsRock4Ever,2020-04-21 16:14:34,"Bedford, Indiana",Twitter Web App,,@kryanbc54 @ericgarland What about the thousands of people who died from Covid-19 because he ignored multiple alerts? Criminal Negligence. He's ALREADY been impeached. Time to haul him off to prison.
EstabrookAaron,2020-04-21 16:14:34,"Manhattan, KS",Twitter for iPhone,,"Comparing the age of RL residents who have tested positive to statewide data reveals that a  greater % of lab-confirmed COVID-19 cases in Riley County are below the age of 45. The average age of RL residents is also younger, due to the presence of students and military personnel. https://t.co/q5NPXsBRZc"
14News,2020-04-21 16:14:34,"Evansville, Indiana",SocialNewsDesk,,UPDATE:Indiana COVID-19 deaths up 61 &gt;&gt;  https://t.co/kJQMPEuxnj https://t.co/2A0CB5QOem
ArchithNEWS,2020-04-21 16:14:34,"Atlanta, GA",Twitter Web App,"georgia, covid, coronavirus, coronaviruspandemic, covid19","[CORONAVIRUS: WHAT'S OPEN?] Banks, pharmacies, gas stations, grocery stores have been and will stay open regardless of the shelter because they are all deemed ""essential businesses""

#georgia #covid #coronavirus #coronaviruspandemic #covid19 https://t.co/txTsU62Lch"
karenfhy,2020-04-21 16:14:33,"Pennsylvania, USA",Twitter for iPhone,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
