screen_name,created_at,location,source,hashtags,text
corona__watch,2020-04-10 22:38:20,UK ,TweetDeck,"Coronavirus, COVID_19, COVID19","Breakdown of #Coronavirus cases over USA states:

New York 172,358
New Jersey 54,588
Michigan 22,783
Massachusetts 20,974
California 20,917
Pennsylvania 20,340
Louisiana 19,253
Florida 17,968
Illinois 17,887
Texas 12,186

Massachusetts jumps to 4th place.

#COVID_19 #COVID19 https://t.co/B2ITHYrVMe"
bluebloodartist,2020-04-10 22:38:16,Utah,Twitter for iPhone,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
Shimoda_Lab,2020-04-10 22:38:12,"Baltimore, MD",Twitter for iPad,"COVID, SARS",@AJPLung and @PhysRep have issued a joint Call for Papers on “The Pathophysiology of #COVID-19 and #SARS-CoV-2 Infection”. All manuscripts will receive expedited handling. The full text of the Call may be found here: https://t.co/o0eEW9uXc0. #COVID19 #SARS_COV_2 #Coronavirus https://t.co/YoYGn1rYSu
JayPott1969,2020-04-10 22:38:12,"Birmingham, MI",Twitter for iPhone,,"UPDATED NUMBERS: Today, @MichiganHHS reported 1,279 new COVID-19 cases &amp; 205 deaths. This brings our total cases to 22,783 &amp; 1,281 deaths. Find the latest data, info &amp; #COVID19 news at https://t.co/m2sOFDoo30. https://t.co/fKrp9iLX3I"
Shellye73042925,2020-04-10 22:38:09,"Ontario, Canada",Twitter for Android,,"👨‍⚕️👩‍⚕️ Remember - always consult a qualified healthcare professional before taking antibiotics. Antibiotics don't work against viruses like #COVID19 virus.  

For more information on COVID-19 ➡️ https://t.co/C3mt4k815w 

#coronavirus

(ENDS) https://t.co/o3Gq9M1bFl"
theirishgripe,2020-04-10 22:38:05,,Twitter for iPhone,COVID,156 residents of Irish nursing homes have died from #COVID-19 in 41 days. That's 54% of all COVID deaths so far. First time we got that figure. #COVIDー19 #COVID19 #COVIDー19 #coronavirus
UCDavisHealth,2020-04-10 22:38:01,"Sacramento, CA",Twitter Web App,COVID19,.@UCDavisChildren is setting national standards for the care of pregnant mothers and newborns during #COVID19. Our experts co-authored coronavirus guidelines that will be published in the American Journal of Perinatology @AmJPerinatology. @neosatyan  https://t.co/uCMLPBC9nW https://t.co/lNnDGoPGOu
tonyasmithjacks,2020-04-10 22:38:00,NC A & T State University,Twitter for iPhone,"NCAT, COVID19, AggiePride","#NCAT Alumna Keely White ‘14 shares her story as a nurse working on the front lines with #COVID19 patients. 

#AggiePride #NCATAlumni @ncatsuaggies @myfox8 

https://t.co/zLdmikws7r"
EDGEofHUMANITY,2020-04-10 22:38:00,USA,TweetDeck,"stress, behaviour, relationship, Coronavirus, Pandemic, coronaviruspandemic, COVID19, Quarantine, CoronavirusQuarantine","""Don’t hide your #stress, this is not the time to bottle anything up, this situation will not cool off like a regular disagreement does.""

https://t.co/kfeVOoIVL3

#behaviour #relationship
#Coronavirus #Pandemic #coronaviruspandemic #COVID19 #Quarantine #CoronavirusQuarantine"
enriqueagoz,2020-04-10 22:37:56,México,Twitter for Android,"COVID19, music",Why do we turn to music in times of crisis? https://t.co/NH18EZgnR6 #COVID19 #music https://t.co/xfNVXkX4BK
